Entidad_Federativa,Periodo,Trimestre,Sexo,Poblacion_ocupada_en_la_industria_manufacturera,Poblaci n_ocupada,Tasa_de_ocupaci n_en_la_industria_manufacturera
Nacional,2005,1,Hombres,4384907,26597801,16.485975660000000000000
Aguascalientes,2005,1,Hombres,56407,246177,22.913188480000000000000
Baja California,2005,1,Hombres,167651,768989,21.801482210000000000000
Baja California Sur,2005,1,Hombres,9349,148814,6.2823390270000000000000
Campeche,2005,1,Hombres,17032,206708,8.2396423940000000000000
Coahuila,2005,1,Hombres,171196,636756,26.885651650000000000000
Colima,2005,1,Hombres,15851,156623,10.120480390000000000000
Chiapas,2005,1,Hombres,59684,1136112,5.2533553030000000000000
Chihuahua,2005,1,Hombres,203833,828428,24.604793660000000000000
Ciudad de M xico,2005,1,Hombres,362248,2312482,15.664900310000000000000
Durango,2005,1,Hombres,65926,378399,17.422350480000000000000
Guanajuato,2005,1,Hombres,285927,1204730,23.733699670000000000000
Guerrero,2005,1,Hombres,57673,702715,8.2071679130000000000000
Hidalgo,2005,1,Hombres,94696,616306,15.365094610000000000000
Jalisco,2005,1,Hombres,343662,1730805,19.855616320000000000000
M xico,2005,1,Hombres,743104,3582878,20.740421530000000000000
Michoac n,2005,1,Hombres,139848,1005172,13.912842780000000000000
Morelos,2005,1,Hombres,47597,398613,11.940654220000000000000
Nayarit,2005,1,Hombres,17268,260824,6.6205563910000000000000
Nuevo Le n,2005,1,Hombres,308904,1171402,26.370451820000000000000
Oaxaca,2005,1,Hombres,73463,865638,8.4865729090000000000000
Puebla,2005,1,Hombres,230487,1341586,17.180188220000000000000
Quer taro,2005,1,Hombres,89657,389861,22.997170790000000000000
Quintana Roo,2005,1,Hombres,18595,313136,5.9383143430000000000000
San Luis Potos ,2005,1,Hombres,94423,602686,15.667030590000000000000
Sinaloa,2005,1,Hombres,77990,749476,10.405936950000000000000
Sonora,2005,1,Hombres,91143,651067,13.999020070000000000000
Tabasco,2005,1,Hombres,37784,531684,7.1064767790000000000000
Tamaulipas,2005,1,Hombres,144816,790504,18.319451890000000000000
Tlaxcala,2005,1,Hombres,60857,263088,23.131803810000000000000
Veracruz,2005,1,Hombres,186805,1792544,10.421222580000000000000
Yucat n,2005,1,Hombres,79794,487287,16.375154680000000000000
Zacatecas,2005,1,Hombres,31237,326311,9.5727695360000000000000
Nacional,2005,2,Hombres,4299545,26379882,16.298575560000000000000
Aguascalientes,2005,2,Hombres,57749,250123,23.088240590000000000000
Baja California,2005,2,Hombres,155352,759631,20.450982120000000000000
Baja California Sur,2005,2,Hombres,8430,150622,5.5967919690000000000000
Campeche,2005,2,Hombres,17116,211678,8.0858662690000000000000
Coahuila,2005,2,Hombres,177317,642237,27.609278190000000000000
Colima,2005,2,Hombres,16334,157132,10.395081840000000000000
Chiapas,2005,2,Hombres,53275,1149356,4.635204410000000000000
Chihuahua,2005,2,Hombres,184094,844239,21.805910410000000000000
Ciudad de M xico,2005,2,Hombres,335779,2269308,14.796537090000000000000
Durango,2005,2,Hombres,66291,373460,17.750495370000000000000
Guanajuato,2005,2,Hombres,289234,1168007,24.763036520000000000000
Guerrero,2005,2,Hombres,49167,708538,6.9392185030000000000000
Hidalgo,2005,2,Hombres,94694,613678,15.430567820000000000000
Jalisco,2005,2,Hombres,341041,1741816,19.579622650000000000000
M xico,2005,2,Hombres,693433,3503229,19.794109950000000000000
Michoac n,2005,2,Hombres,137251,971632,14.12582130000000000000
Morelos,2005,2,Hombres,43578,403404,10.802570130000000000000
Nayarit,2005,2,Hombres,20394,255059,7.9957970510000000000000
Nuevo Le n,2005,2,Hombres,310295,1180942,26.275210810000000000000
Oaxaca,2005,2,Hombres,72511,868184,8.3520313670000000000000
Puebla,2005,2,Hombres,236459,1307234,18.088498310000000000000
Quer taro,2005,2,Hombres,89439,395897,22.591482130000000000000
Quintana Roo,2005,2,Hombres,19336,320098,6.0406500510000000000000
San Luis Potos ,2005,2,Hombres,104308,594132,17.556367950000000000000
Sinaloa,2005,2,Hombres,75157,722151,10.407380170000000000000
Sonora,2005,2,Hombres,102370,634839,16.125348320000000000000
Tabasco,2005,2,Hombres,39321,536739,7.3259070050000000000000
Tamaulipas,2005,2,Hombres,152786,807392,18.92339780000000000000
Tlaxcala,2005,2,Hombres,62589,266999,23.441660830000000000000
Veracruz,2005,2,Hombres,183207,1745193,10.497807410000000000000
Yucat n,2005,2,Hombres,83288,485632,17.15043490000000000000
Zacatecas,2005,2,Hombres,27950,341301,8.1892523020000000000000
Nacional,2005,3,Hombres,4290567,26777675,16.022925810000000000000
Aguascalientes,2005,3,Hombres,54585,252225,21.641391610000000000000
Baja California,2005,3,Hombres,160036,769610,20.794428350000000000000
Baja California Sur,2005,3,Hombres,9609,153192,6.2725207580000000000000
Campeche,2005,3,Hombres,17815,211438,8.4256377760000000000000
Coahuila,2005,3,Hombres,168626,639837,26.354524670000000000000
Colima,2005,3,Hombres,16236,157257,10.324500660000000000000
Chiapas,2005,3,Hombres,57328,1156983,4.9549561230000000000000
Chihuahua,2005,3,Hombres,184026,858003,21.448176750000000000000
Ciudad de M xico,2005,3,Hombres,320777,2272775,14.113891610000000000000
Durango,2005,3,Hombres,68157,382252,17.830384140000000000000
Guanajuato,2005,3,Hombres,303831,1211601,25.076819840000000000000
Guerrero,2005,3,Hombres,43653,771353,5.6592766220000000000000
Hidalgo,2005,3,Hombres,92533,613751,15.076635310000000000000
Jalisco,2005,3,Hombres,351469,1771504,19.840147130000000000000
M xico,2005,3,Hombres,698696,3551666,19.672345320000000000000
Michoac n,2005,3,Hombres,140757,993033,14.174453420000000000000
Morelos,2005,3,Hombres,46983,416229,11.287776680000000000000
Nayarit,2005,3,Hombres,18787,250253,7.5072027110000000000000
Nuevo Le n,2005,3,Hombres,313260,1190220,26.319503960000000000000
Oaxaca,2005,3,Hombres,67299,908420,7.4083573680000000000000
Puebla,2005,3,Hombres,233484,1333871,17.504241410000000000000
Quer taro,2005,3,Hombres,95335,402911,23.661553050000000000000
Quintana Roo,2005,3,Hombres,22049,332109,6.6390853610000000000000
San Luis Potos ,2005,3,Hombres,104331,593450,17.580419580000000000000
Sinaloa,2005,3,Hombres,69407,699118,9.9277947360000000000000
Sonora,2005,3,Hombres,99551,619562,16.067964140000000000000
Tabasco,2005,3,Hombres,31508,542164,5.8115256640000000000000
Tamaulipas,2005,3,Hombres,148458,791775,18.750023680000000000000
Tlaxcala,2005,3,Hombres,61391,272015,22.568975980000000000000
Veracruz,2005,3,Hombres,174362,1817213,9.5950227080000000000000
Yucat n,2005,3,Hombres,90213,495060,18.222639680000000000000
Zacatecas,2005,3,Hombres,26015,346825,7.5009010310000000000000
Nacional,2005,4,Hombres,4348251,26993388,16.108578150000000000000
Aguascalientes,2005,4,Hombres,58213,258498,22.519710020000000000000
Baja California,2005,4,Hombres,155452,774211,20.078764060000000000000
Baja California Sur,2005,4,Hombres,9108,156294,5.8274789820000000000000
Campeche,2005,4,Hombres,18416,211113,8.7232903710000000000000
Coahuila,2005,4,Hombres,176864,643388,27.489477580000000000000
Colima,2005,4,Hombres,16178,157662,10.261191660000000000000
Chiapas,2005,4,Hombres,58917,1141005,5.1636057690000000000000
Chihuahua,2005,4,Hombres,190135,878534,21.642304110000000000000
Ciudad de M xico,2005,4,Hombres,323505,2312440,13.989768380000000000000
Durango,2005,4,Hombres,70110,384284,18.244319310000000000000
Guanajuato,2005,4,Hombres,307479,1235657,24.883847220000000000000
Guerrero,2005,4,Hombres,47492,762389,6.2293658490000000000000
Hidalgo,2005,4,Hombres,84724,594997,14.239399530000000000000
Jalisco,2005,4,Hombres,357572,1770229,20.199194570000000000000
M xico,2005,4,Hombres,682457,3595444,18.98116060000000000000
Michoac n,2005,4,Hombres,145688,994406,14.650756330000000000000
Morelos,2005,4,Hombres,47747,422774,11.293740860000000000000
Nayarit,2005,4,Hombres,20072,264945,7.5759119820000000000000
Nuevo Le n,2005,4,Hombres,332157,1214332,27.353063250000000000000
Oaxaca,2005,4,Hombres,67200,888125,7.5665024630000000000000
Puebla,2005,4,Hombres,243930,1324739,18.413438420000000000000
Quer taro,2005,4,Hombres,94902,417750,22.717414720000000000000
Quintana Roo,2005,4,Hombres,21618,335107,6.4510738360000000000000
San Luis Potos ,2005,4,Hombres,101607,594842,17.081342610000000000000
Sinaloa,2005,4,Hombres,73098,727673,10.045446240000000000000
Sonora,2005,4,Hombres,101596,642899,15.802793280000000000000
Tabasco,2005,4,Hombres,34758,547966,6.343094280000000000000
Tamaulipas,2005,4,Hombres,153867,814984,18.879757150000000000000
Tlaxcala,2005,4,Hombres,62629,274862,22.785616050000000000000
Veracruz,2005,4,Hombres,177063,1809574,9.7847891270000000000000
Yucat n,2005,4,Hombres,87066,488417,17.826160840000000000000
Zacatecas,2005,4,Hombres,26631,353848,7.5261129070000000000000
Nacional,2006,1,Hombres,4377795,26913995,16.265868370000000000000
Aguascalientes,2006,1,Hombres,58341,256317,22.761268270000000000000
Baja California,2006,1,Hombres,156261,779609,20.043508990000000000000
Baja California Sur,2006,1,Hombres,8786,158987,5.5262379940000000000000
Campeche,2006,1,Hombres,17084,209068,8.1715040080000000000000
Coahuila,2006,1,Hombres,171703,651844,26.341118430000000000000
Colima,2006,1,Hombres,16557,158735,10.430591870000000000000
Chiapas,2006,1,Hombres,59850,1149799,5.2052576150000000000000
Chihuahua,2006,1,Hombres,214820,876826,24.499729710000000000000
Ciudad de M xico,2006,1,Hombres,332272,2303308,14.425860540000000000000
Durango,2006,1,Hombres,63602,381374,16.677067660000000000000
Guanajuato,2006,1,Hombres,289545,1205676,24.01515830000000000000
Guerrero,2006,1,Hombres,56127,676173,8.3006863630000000000000
Hidalgo,2006,1,Hombres,91662,612238,14.971628680000000000000
Jalisco,2006,1,Hombres,351065,1757793,19.971919330000000000000
M xico,2006,1,Hombres,693353,3609150,19.210977650000000000000
Michoac n,2006,1,Hombres,144978,1005453,14.419172250000000000000
Morelos,2006,1,Hombres,52631,421107,12.498248660000000000000
Nayarit,2006,1,Hombres,23317,265827,8.7714942420000000000000
Nuevo Le n,2006,1,Hombres,319372,1210555,26.38227920000000000000
Oaxaca,2006,1,Hombres,61385,871479,7.0437727130000000000000
Puebla,2006,1,Hombres,240480,1302665,18.460617270000000000000
Quer taro,2006,1,Hombres,91980,403865,22.774937170000000000000
Quintana Roo,2006,1,Hombres,21443,334827,6.4042027670000000000000
San Luis Potos ,2006,1,Hombres,105158,609199,17.261682960000000000000
Sinaloa,2006,1,Hombres,75653,738576,10.24308940000000000000
Sonora,2006,1,Hombres,112843,657332,17.166819810000000000000
Tabasco,2006,1,Hombres,39896,549910,7.2550053650000000000000
Tamaulipas,2006,1,Hombres,157890,810923,19.470405940000000000000
Tlaxcala,2006,1,Hombres,62600,271937,23.020037730000000000000
Veracruz,2006,1,Hombres,176840,1845886,9.5802232640000000000000
Yucat n,2006,1,Hombres,85656,497484,17.217840170000000000000
Zacatecas,2006,1,Hombres,24645,330073,7.4665301310000000000000
Nacional,2006,2,Hombres,4403016,27204670,16.184780040000000000000
Aguascalientes,2006,2,Hombres,57262,256947,22.28552970000000000000
Baja California,2006,2,Hombres,157768,769149,20.512020430000000000000
Baja California Sur,2006,2,Hombres,9537,161863,5.8920197950000000000000
Campeche,2006,2,Hombres,17416,216483,8.0449735080000000000000
Coahuila,2006,2,Hombres,181789,663285,27.40737390000000000000
Colima,2006,2,Hombres,16209,165738,9.7798935670000000000000
Chiapas,2006,2,Hombres,63145,1155632,5.4641096820000000000000
Chihuahua,2006,2,Hombres,200707,890145,22.547674820000000000000
Ciudad de M xico,2006,2,Hombres,331523,2305012,14.38270170000000000000
Durango,2006,2,Hombres,66240,381913,17.344264270000000000000
Guanajuato,2006,2,Hombres,310031,1238261,25.037613230000000000000
Guerrero,2006,2,Hombres,53705,740538,7.2521599160000000000000
Hidalgo,2006,2,Hombres,92224,624843,14.75954760000000000000
Jalisco,2006,2,Hombres,359655,1793023,20.058582630000000000000
M xico,2006,2,Hombres,691838,3637616,19.018994860000000000000
Michoac n,2006,2,Hombres,137321,1002687,13.695300730000000000000
Morelos,2006,2,Hombres,50541,428228,11.802357620000000000000
Nayarit,2006,2,Hombres,22170,263513,8.4132471640000000000000
Nuevo Le n,2006,2,Hombres,317582,1230318,25.813001190000000000000
Oaxaca,2006,2,Hombres,57207,876211,6.528906850000000000000
Puebla,2006,2,Hombres,245594,1352263,18.161703750000000000000
Quer taro,2006,2,Hombres,88298,398383,22.164098370000000000000
Quintana Roo,2006,2,Hombres,24410,338287,7.2157664940000000000000
San Luis Potos ,2006,2,Hombres,106465,595609,17.874981740000000000000
Sinaloa,2006,2,Hombres,70350,739276,9.5160670710000000000000
Sonora,2006,2,Hombres,118568,648146,18.29340920000000000000
Tabasco,2006,2,Hombres,33859,540073,6.2693376640000000000000
Tamaulipas,2006,2,Hombres,164244,813438,20.191336030000000000000
Tlaxcala,2006,2,Hombres,61996,275191,22.528353030000000000000
Veracruz,2006,2,Hombres,175281,1851685,9.4660268890000000000000
Yucat n,2006,2,Hombres,93896,508472,18.46630690000000000000
Zacatecas,2006,2,Hombres,26185,342442,7.6465503650000000000000
Nacional,2006,3,Hombres,4457870,27334362,16.308666730000000000000
Aguascalientes,2006,3,Hombres,57875,259257,22.323408820000000000000
Baja California,2006,3,Hombres,166716,784555,21.249753040000000000000
Baja California Sur,2006,3,Hombres,10722,161978,6.6194174520000000000000
Campeche,2006,3,Hombres,15658,211707,7.3960709850000000000000
Coahuila,2006,3,Hombres,187542,677828,27.668080990000000000000
Colima,2006,3,Hombres,14153,166004,8.5256981760000000000000
Chiapas,2006,3,Hombres,71616,1168931,6.1266233850000000000000
Chihuahua,2006,3,Hombres,218396,877870,24.87794320000000000000
Ciudad de M xico,2006,3,Hombres,330900,2341304,14.133149730000000000000
Durango,2006,3,Hombres,64554,379877,16.993395230000000000000
Guanajuato,2006,3,Hombres,308013,1246467,24.710882840000000000000
Guerrero,2006,3,Hombres,49692,745677,6.6640113610000000000000
Hidalgo,2006,3,Hombres,93934,617270,15.217651920000000000000
Jalisco,2006,3,Hombres,372446,1776731,20.962430440000000000000
M xico,2006,3,Hombres,729210,3660039,19.923558190000000000000
Michoac n,2006,3,Hombres,134366,1014227,13.248119010000000000000
Morelos,2006,3,Hombres,48129,430507,11.179609160000000000000
Nayarit,2006,3,Hombres,20493,263879,7.7660594440000000000000
Nuevo Le n,2006,3,Hombres,329492,1253041,26.295388580000000000000
Oaxaca,2006,3,Hombres,59280,893188,6.636900630000000000000
Puebla,2006,3,Hombres,239606,1353013,17.709068580000000000000
Quer taro,2006,3,Hombres,93856,401790,23.359466390000000000000
Quintana Roo,2006,3,Hombres,21897,354038,6.1849293010000000000000
San Luis Potos ,2006,3,Hombres,98728,611588,16.142893580000000000000
Sinaloa,2006,3,Hombres,71925,712255,10.098209210000000000000
Sonora,2006,3,Hombres,104704,610424,17.152667650000000000000
Tabasco,2006,3,Hombres,34125,541537,6.3015084840000000000000
Tamaulipas,2006,3,Hombres,169466,808396,20.963240790000000000000
Tlaxcala,2006,3,Hombres,61480,274115,22.428542760000000000000
Veracruz,2006,3,Hombres,157356,1883050,8.3564430050000000000000
Yucat n,2006,3,Hombres,91405,505273,18.090220530000000000000
Zacatecas,2006,3,Hombres,30135,348546,8.6459176120000000000000
Nacional,2006,4,Hombres,4492267,27499469,16.335831790000000000000
Aguascalientes,2006,4,Hombres,60166,266817,22.54953770000000000000
Baja California,2006,4,Hombres,170206,780882,21.796635090000000000000
Baja California Sur,2006,4,Hombres,10421,168643,6.1793255580000000000000
Campeche,2006,4,Hombres,16845,215863,7.8035605920000000000000
Coahuila,2006,4,Hombres,176022,693350,25.387178190000000000000
Colima,2006,4,Hombres,14204,162828,8.72331540000000000000
Chiapas,2006,4,Hombres,70676,1159204,6.0969423850000000000000
Chihuahua,2006,4,Hombres,206223,885034,23.301138710000000000000
Ciudad de M xico,2006,4,Hombres,330064,2293344,14.392258640000000000000
Durango,2006,4,Hombres,61022,380820,16.023843290000000000000
Guanajuato,2006,4,Hombres,300104,1271505,23.602266610000000000000
Guerrero,2006,4,Hombres,52095,758442,6.868686070000000000000
Hidalgo,2006,4,Hombres,99407,607052,16.375368170000000000000
Jalisco,2006,4,Hombres,382968,1791275,21.379631830000000000000
M xico,2006,4,Hombres,744315,3721200,20.002015480000000000000
Michoac n,2006,4,Hombres,137799,1019895,13.511096730000000000000
Morelos,2006,4,Hombres,47864,422477,11.329374140000000000000
Nayarit,2006,4,Hombres,21979,269621,8.1518131010000000000000
Nuevo Le n,2006,4,Hombres,326821,1254756,26.046577980000000000000
Oaxaca,2006,4,Hombres,52730,882024,5.9782953750000000000000
Puebla,2006,4,Hombres,253502,1355088,18.707419740000000000000
Quer taro,2006,4,Hombres,93728,408134,22.965006590000000000000
Quintana Roo,2006,4,Hombres,22082,358047,6.1673467450000000000000
San Luis Potos ,2006,4,Hombres,95908,610079,15.720587010000000000000
Sinaloa,2006,4,Hombres,68797,729010,9.4370447590000000000000
Sonora,2006,4,Hombres,109047,628272,17.356654440000000000000
Tabasco,2006,4,Hombres,38960,545503,7.1420322160000000000000
Tamaulipas,2006,4,Hombres,162160,822421,19.717395350000000000000
Tlaxcala,2006,4,Hombres,65152,274808,23.708188990000000000000
Veracruz,2006,4,Hombres,179901,1885847,9.5395331650000000000000
Yucat n,2006,4,Hombres,91221,514598,17.726652650000000000000
Zacatecas,2006,4,Hombres,29878,362630,8.239252130000000000000
